,nace_code,level,description
238,23.1,3,Manufacture of glass and glass products
239,23.11,4,Manufacture of flat glass
240,23.12,4,Shaping and processing of flat glass
241,23.13,4,Manufacture of hollow glass
242,23.14,4,Manufacture of glass fibres
243,23.19,4,"Manufacture and processing of other glass, including technical glassware"
244,23.2,3,Manufacture of refractory products
245,23.20,4,Manufacture of refractory products
246,23.3,3,Manufacture of clay building materials
247,23.31,4,Manufacture of ceramic tiles and flags
248,23.32,4,"Manufacture of bricks, tiles and construction products, in baked clay"
249,23.4,3,Manufacture of other porcelain and ceramic products
250,23.41,4,Manufacture of ceramic household and ornamental articles
251,23.42,4,Manufacture of ceramic sanitary fixtures
252,23.43,4,Manufacture of ceramic insulators and insulating fittings
253,23.44,4,Manufacture of other technical ceramic products
254,23.49,4,Manufacture of other ceramic products
255,23.5,3,"Manufacture of cement, lime and plaster"
256,23.51,4,Manufacture of cement
257,23.52,4,Manufacture of lime and plaster
258,23.6,3,"Manufacture of articles of concrete, cement and plaster"
259,23.61,4,Manufacture of concrete products for construction purposes
260,23.62,4,Manufacture of plaster products for construction purposes
261,23.63,4,Manufacture of ready-mixed concrete
262,23.64,4,Manufacture of mortars
263,23.65,4,Manufacture of fibre cement
264,23.69,4,"Manufacture of other articles of concrete, plaster and cement"
265,23.7,3,"Cutting, shaping and finishing of stone"
266,23.70,4,"Cutting, shaping and finishing of stone"
267,23.9,3,Manufacture of abrasive products and non-metallic mineral products n.e.c.
268,23.91,4,Production of abrasive products
269,23.99,4,Manufacture of other non-metallic mineral products n.e.c.
270,24,2,Manufacture of basic metals
271,24.1,3,Manufacture of basic iron and steel and of ferro-alloys
272,24.10,4,Manufacture of basic iron and steel and of ferro-alloys
273,24.2,3,"Manufacture of tubes, pipes, hollow profiles and related fittings, of steel"
274,24.20,4,"Manufacture of tubes, pipes, hollow profiles and related fittings, of steel"
275,24.3,3,Manufacture of other products of first processing of steel
276,24.31,4,Cold drawing of bars
277,24.32,4,Cold rolling of narrow strip
278,24.33,4,Cold forming or folding
279,24.34,4,Cold drawing of wire
280,24.4,3,Manufacture of basic precious and other non-ferrous metals
281,24.41,4,Precious metals production
282,24.42,4,Aluminium production
283,24.43,4,"Lead, zinc and tin production"
284,24.44,4,Copper production
285,24.45,4,Other non-ferrous metal production
286,24.46,4,Processing of nuclear fuel
287,24.5,3,Casting of metals
288,24.51,4,Casting of iron
289,24.52,4,Casting of steel
290,24.53,4,Casting of light metals
291,24.54,4,Casting of other non-ferrous metals
292,25,2,"Manufacture of fabricated metal products, except machinery and equipment"
293,25.1,3,Manufacture of structural metal products
294,25.11,4,Manufacture of metal structures and parts of structures
295,25.12,4,Manufacture of doors and windows of metal
296,25.2,3,"Manufacture of tanks, reservoirs and containers of metal"
297,25.21,4,Manufacture of central heating radiators and boilers
298,25.29,4,"Manufacture of other tanks, reservoirs and containers of metal"
299,25.3,3,"Manufacture of steam generators, except central heating hot water boilers"
300,25.30,4,"Manufacture of steam generators, except central heating hot water boilers"
301,25.4,3,Manufacture of weapons and ammunition
302,25.40,4,Manufacture of weapons and ammunition
303,25.5,3,"Forging, pressing, stamping and roll-forming of metal; powder metallurgy"
304,25.50,4,"Forging, pressing, stamping and roll-forming of metal; powder metallurgy"
305,25.6,3,Treatment and coating of metals; machining
306,25.61,4,Treatment and coating of metals
307,25.62,4,Machining
308,25.7,3,"Manufacture of cutlery, tools and general hardware"
309,25.71,4,Manufacture of cutlery
310,25.72,4,Manufacture of locks and hinges
311,25.73,4,Manufacture of tools
312,25.9,3,Manufacture of other fabricated metal products
313,25.91,4,Manufacture of steel drums and similar containers
314,25.92,4,Manufacture of light metal packaging
315,25.93,4,"Manufacture of wire products, chain and springs"
316,25.94,4,Manufacture of fasteners and screw machine products
317,25.99,4,Manufacture of other fabricated metal products n.e.c.
318,26,2,"Manufacture of computer, electronic and optical products"
319,26.1,3,Manufacture of electronic components and boards
320,26.11,4,Manufacture of electronic components
321,26.12,4,Manufacture of loaded electronic boards
322,26.2,3,Manufacture of computers and peripheral equipment
323,26.20,4,Manufacture of computers and peripheral equipment
324,26.3,3,Manufacture of communication equipment
325,26.30,4,Manufacture of communication equipment
326,26.4,3,Manufacture of consumer electronics
